Words,freq,No_Match,Entered
d-,0,1,0
in,2,0,1
sein,2,0,1
und,2,0,1
ein,3,0,1
haben,3,0,1
mit,3,0,1
von,3,0,1
werden,3,0,1
als,4,0,1
an,4,0,1
auch,4,0,1
auf,4,0,1
bei,4,0,1
eine,4,0,1
er,4,0,1
er/sie/es/sie,4,1,0
es,4,0,1
für,4,0,1
nicht,4,0,1
sie,4,0,1
zu,4,0,1
all-,5,1,0
aus,5,0,1
bis,5,0,1
dass,5,0,1
der,5,0,1
dies,5,0,1
ihr,5,0,1
jahr,5,0,1
können,5,0,1
nach,5,0,1
noch,5,0,1
nur,5,0,1
so,5,0,1
über,5,0,1
uhr,5,0,1
um,5,0,1
vor,5,0,1
wie,5,0,1
wir,5,0,1
aber,6,0,1
ander-,6,1,0
dann,6,0,1
doch,6,0,1
durch,6,0,1
er/es,6,0,1
erst,6,0,1
geben,6,0,1
gegen,6,0,1
gehen,6,0,1
groß,6,0,1
gut,6,0,1
ich,6,0,1
kein,6,0,1
kommen,6,0,1
machen,6,0,1
man,6,0,1
mehr,6,0,1
müssen,6,0,1
neu,6,0,1
oder,6,0,1
sagen,6,0,1
schon,6,0,1
sollen,6,0,1
unter,6,0,1
weit,6,0,1
wenn,6,0,1
wieder,6,0,1
wollen,6,0,1
zwei,6,0,1
ab,7,0,1
alt,7,0,1
beid-,7,1,0
bekanntwerden,7,0,1
bereits,7,0,1
bleiben,7,0,1
bringen,7,0,1
da,7,0,1
dabei,7,0,1
damit,7,0,1
denn,7,0,1
deutsch,7,0,1
drei,7,0,1
dürfen,7,0,1
euro,7,0,1
finden,7,0,1
frau,7,0,1
ganz,7,0,1
heute,7,0,1
hier,7,0,1
hoch,7,0,1
immer,7,0,1
jährig,7,0,1
jed-,7,1,0
jetzt,7,0,1
jung,7,0,1
kind,7,0,1
klein,7,0,1
land,7,0,1
letzt-,7,1,0
liegen,7,0,1
mann,7,0,1
mensch,7,0,1
million,7,0,1
nun,7,0,1
ohne,7,0,1
prozent,7,0,1
rund,7,0,1
sehen,7,0,1
sehr,7,0,1
seit,7,0,1
selbst,7,0,1
sowie,7,0,1
stadt,7,0,1
stehen,7,0,1
tag,7,0,1
viel,7,0,1
viel-,7,1,0
was,7,0,1
weil,7,0,1
woche,7,0,1
zeigen,7,0,1
zeit,7,0,1
zweit,7,0,1
zwischen,7,0,1
allerdings,8,0,1
